Esas No,Tarih,İl,Milletvekili,Muhatap Bakanlık,Durum,Önerge Özeti
7 / 18236,16.10.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Antalya Yüksek Güvenlikli Kapalı Cezaevinde yaşandığı iddia edilen hak ihlallerine ilişkin
7 / 30909,17.07.2025,Aydın,Süleyman BÜLBÜL,Adalet Bakanlığı,Cevaplandı,Bireysel kredi ve kredi kartı borcu nedeniyle haklarında icra takibi başlatılan kişilere ilişkin
7 / 11676,09.05.2024,Hatay,Nermin YILDIRIM KARA,Aile Ve Sosyal Hizmetler Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2023'te Kahramanmaraş ve Hatay'da gerçekleşen depremler sonrasında kayıp durumda olan kişilere ilişkin
7 / 21337,30.12.2024,Şanlıurfa,Ferit ŞENYAŞAR,Aile Ve Sosyal Hizmetler Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Gaziantep Çocuk Esirgeme Kurumunda kötü muameleye maruz kalan iki çocuğa ilişkin
7 / 32411,07.08.2025,İstanbul,Özgül SAKİ,Başkan Numan KURTULMUŞ,Cevaplandı,Boşanma aşamasındaki eşi tarafından öldürülen TBMM personeli bir kadına ilişkin
7 / 37889,09.12.2025,Tunceli,Ayten KORDU,Başkan Numan KURTULMUŞ,Cevaplandı,Dilekçe Komisyonu bünyesinde kurulan bir alt komisyona ilişkin
7 / 19882,29.11.2024,İstanbul,Mehmet Satuk Buğra KAVUNCU,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Süresi Geçtikten Sonra Cevaplandı,COP29 İklim Zirvesi'ne katılan heyete ilişkin
7 / 3787,04.09.2023,Niğde,Ömer Fethi GÜRER,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Cevaplandı,Türkiye Tek Yürek Kampanyasında toplanan bağışların akıbetine ilişkin
7 / 40635,11.02.2026,Kocaeli,Ömer Faruk GERGERLİOĞLU,Dışişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Mısır'da cezaevinde olan bir Türk vatandaşının ülkemize getirilmesi talebine ilişkin
7 / 11287,25.04.2024,Mardin,Kamuran TANHAN,Dışişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Erzincan L Tipi Kapalı Cezaevinden tahliye edilen yabancı uyruklu bir kişiyle ilgili iddialara ilişkin
7 / 1398,06.07.2023,Mardin,Beritan GÜNEŞ ALTIN,Enerji Ve Tabii Kaynaklar Bakanlığı,Cevaplandı,Mardin'in Derik ilçesinde yaşanan elektrik kesintilerine ilişkin
7 / 27880,07.05.2025,Ankara,Semra DİNÇER,Enerji Ve Tabii Kaynaklar Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Muğla'da bulunan Akbelen Ormanındaki kömür rezervi miktarına ilişkin
7 / 40533,05.02.2026,Diyarbakır,Serhat EREN,Gençlik Ve Spor Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bir futbol kulübüne ve kulüp başkanına verilen cezaya ilişkin
7 / 29391,17.06.2025,Muğla,Selçuk ÖZDAĞ,Gençlik Ve Spor Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bakanlığın uyuşturucu ile mücadele konusunda yürüttüğü çalışmalara ilişkin
7 / 12277,14.05.2024,Mardin,Beritan GÜNEŞ ALTIN,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kürtçenin kamusal hizmetlerde kullanımına ilişkin
7 / 36662,12.11.2025,İstanbul,Özgür KARABAT,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2026 yılı Merkezi Yönetim Bütçesine ilişkin
7 / 13893,10.07.2024,Diyarbakır,Ceylan AKÇA CUPOLO,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Diyarbakır'ın Suriçi bölgesinde yer alan tarihi PTT binasının kullanım hakkının devredildiği iddiasına ilişkin
7 / 24045,12.02.2025,Yozgat,İbrahim Ethem SEDEF,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Yozgat'ın Yerköy ilçesine bağlı Saray köyünde bulunan Çapanoğlu Camii'nin restore edilmesi talebine ilişkin
7 / 4759,28.09.2023,İstanbul,Çiçek OTLU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir mesleki eğitim merkezi öğrencisinin ölümü ile bu öğrencilerin sorunlarına ilişkin
7 / 34500,15.08.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2023-2025 yılları arasında üniversitelerdeki etkinliklere çağırılan sosyal medya fenomenlerine ilişkin
7 / 10340,01.03.2024,Aydın,Evrim KARAKOZ,Milli Savunma Bakanlığı,Cevaplandı,Bakanlık ile bağlı kurum ve kuruluşlarda yolsuzluk iddiası nedeniyle haklarında soruşturma yürütülen veya dava açılan çalışanlara ilişkin
7 / 22449,23.01.2025,Kocaeli,Lütfü TÜRKKAN,Milli Savunma Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bakanlığın bir dava sonucu ödediği tazminatı geri talep etmesine ilişkin
7 / 3661,25.08.2023,Erzurum,Meral DANIŞ BEŞTAŞ,Sanayi Ve Teknoloji Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Erzurum ilindeki sanayi altyapısına ilişkin
7 / 20205,06.12.2024,Uşak,Ali KARAOBA,Sanayi Ve Teknoloji Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bakanlık bünyesindeki engelli çalışanlara ve engelli yöneticilere ilişkin
7 / 38922,08.01.2026,Artvin,Uğur BAYRAKTUTAN,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Artvin'de yürütülen sağlık hizmetlerinin iyileştirilmesine ilişkin
7 / 36792,19.11.2025,Zonguldak,Eylem Ertuğ ERTUĞRUL,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Zonguldak'ta bulunan Atatürk Devlet Hastanesinin eski binasının akıbetine ilişkin
7 / 38945,09.01.2026,Niğde,Ömer Fethi GÜRER,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,2023-2025 yıllarında meydana gelen orman yangınlarına ilişkin
7 / 31340,10.07.2025,Afyonkarahisar,Hakan Şeref OLGUN,Tarım Ve Orman Bakanlığı,Cevaplandı,Isparta ilinin Gönen ilçesinde şap hastalığı ile mücadeleye ilişkin
