Esas No,Tarih,İl,Milletvekili,Muhatap Bakanlık,Durum,Önerge Özeti
7 / 33596,04.09.2025,Uşak,Ali KARAOBA,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Ulubey Kanyonu'nda gerçekleştirilmesi planlanan sıcak hava balonu projesine ilişkin
7 / 18236,16.10.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Antalya Yüksek Güvenlikli Kapalı Cezaevinde yaşandığı iddia edilen hak ihlallerine ilişkin
7 / 40845,06.02.2026,Diyarbakır,Mustafa Sezgin TANRIKULU,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Motosikletli kuryelik için yaş sınırının 69'a çıkarılmasına ilişkin
7 / 21633,07.01.2025,İzmir,Mahir POLAT,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,TRT'nin dijital platformuna ilişkin
7 / 38922,08.01.2026,Artvin,Uğur BAYRAKTUTAN,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Artvin'de yürütülen sağlık hizmetlerinin iyileştirilmesine ilişkin
7 / 4759,28.09.2023,İstanbul,Çiçek OTLU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir mesleki eğitim merkezi öğrencisinin ölümü ile bu öğrencilerin sorunlarına ilişkin
7 / 30909,17.07.2025,Aydın,Süleyman BÜLBÜL,Adalet Bakanlığı,Cevaplandı,Bireysel kredi ve kredi kartı borcu nedeniyle haklarında icra takibi başlatılan kişilere ilişkin
7 / 41007,20.02.2026,Mersin,Gülcan KIŞ,Ulaştırma Ve Altyapı Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Mersin'de bulunan TCDD'ye ait bir taşınmazın kira sözleşmesiyle ilgili iddialara ilişkin
7 / 5972,31.10.2023,Osmaniye,Asu KAYA,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Osmaniye'de mobil afet ve acil durum simülasyon tırının ulaştığı kişi sayısına ilişkin
7 / 3661,25.08.2023,Erzurum,Meral DANIŞ BEŞTAŞ,Sanayi Ve Teknoloji Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Erzurum ilindeki sanayi altyapısına ilişkin
7 / 39042,14.01.2026,Van,Gülderen VARLİ,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Antalya'da bulunan cezaevlerinde yaşandığı iddia edilen hak ihlallerine ilişkin
7 / 15107,12.08.2024,Tekirdağ,İlhami Özcan AYGUN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Ülke genelinde ve Trakya Bölgesinde yabancılara satılan meyve bahçeleri ve tarlalara ilişkin
7 / 40635,11.02.2026,Kocaeli,Ömer Faruk GERGERLİOĞLU,Dışişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Mısır'da cezaevinde olan bir Türk vatandaşının ülkemize getirilmesi talebine ilişkin
7 / 12277,14.05.2024,Mardin,Beritan GÜNEŞ ALTIN,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kürtçenin kamusal hizmetlerde kullanımına ilişkin
7 / 13893,10.07.2024,Diyarbakır,Ceylan AKÇA CUPOLO,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Diyarbakır'ın Suriçi bölgesinde yer alan tarihi PTT binasının kullanım hakkının devredildiği iddiasına ilişkin
7 / 34500,15.08.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2023-2025 yılları arasında üniversitelerdeki etkinliklere çağırılan sosyal medya fenomenlerine ilişkin
7 / 25859,14.03.2025,Ankara,Gamze TAŞCIER,Çalışma Ve Sosyal Güvenlik Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Üniversite idari personelinin tayin ve nakil hakkından yararlanmasına ilişkin
7 / 17734,04.10.2024,Bitlis,Hüseyin OLAN,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bitlis ilinin Hizan ilçesinin Derince köyüne İl Özel İdaresi tarafından yapılan hizmetlere ilişkin
7 / 11287,25.04.2024,Mardin,Kamuran TANHAN,Dışişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Erzincan L Tipi Kapalı Cezaevinden tahliye edilen yabancı uyruklu bir kişiyle ilgili iddialara ilişkin
7 / 36662,12.11.2025,İstanbul,Özgür KARABAT,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2026 yılı Merkezi Yönetim Bütçesine ilişkin
